station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
145340,Högland,2,64.5666,15.9166,1/1/1951 0:00,6/30/1975 23:59,401
145450,Brännåkersfjället V,2,64.7507,15.8307,4/1/1996 0:00,3/31/1997 23:59,630
145580,Saxnäs V,2,64.96782,15.37907,10/1/1998 0:00,10/1/2016 10:00,542
146050,Hoting A,2,64.0885,16.2388,2/1/1996 0:00,10/1/2016 10:00,241
146070,Hoting,2,64.1236,16.2149,12/1/1969 0:00,9/30/1997 23:59,240
146350,Vilhelmina A,2,64.5809,16.8421,10/1/1995 0:00,10/1/2016 10:00,348
146380,Laxbäcken,2,64.6389,16.4142,1/1/1961 0:00,8/31/2016 23:59,345
147090,Åsele A,2,64.1661,17.3188,12/15/1995 0:00,10/1/2016 10:00,307
147100,Åsele,2,64.159,17.3494,1/1/1992 0:00,8/31/2016 23:59,310
147270,Idvattnet,2,64.4542,17.0794,10/1/1982 0:00,1/31/1996 23:59,352
147420,Risträsk V,2,64.73431,17.40337,3/1/1996 0:00,10/1/2016 10:00,598
147460,Ulvoberg,2,64.7627,17.2165,1/1/1961 0:00,1/31/2005 23:59,520
147560,Gunnarn A,2,65.0106,17.7034,11/1/2008 0:00,10/1/2016 10:00,251
147570,Gunnarn,2,65.0074,17.7085,8/1/2003 0:00,4/13/2013 5:59,280
148040,Fredrika A,2,64.0753,18.3656,1/1/1996 0:00,10/1/2016 10:00,327
148050,Fredrika,2,64.0763,18.419,7/1/1980 0:00,12/31/1995 23:59,300
148300,Kroksjö,2,64.503,17.9972,9/1/1969 0:00,1/31/1989 23:59,520
148330,Lycksele A,2,64.5492,18.7169,12/15/1995 0:00,10/1/2016 10:00,210
148350,Lycksele,2,64.5871,18.6587,2/1/1962 0:00,10/31/1995 23:59,234
149120,Vindeln-Sunnansjönäs,2,64.1973,19.7243,3/1/1989 0:00,5/9/2000 23:59,177
149160,Hällnäs-Lund,2,64.2684,19.6314,3/1/1951 0:00,2/28/1989 23:59,181
149340,Petisträsk A,2,64.5669,19.6983,12/15/1995 0:00,10/1/2016 10:00,258
149540,Norsjö,2,64.9093,19.4746,3/1/1996 0:00,8/31/2016 23:59,296
149560,Norsjö A,2,64.9263,19.3782,11/1/1995 0:00,10/1/2016 10:00,309
149570,Storliden,2,64.95,19.4833,1/1/1965 0:00,7/31/1973 23:59,390
149610,Kulbäcksliden,2,64.2,19.5666,1/1/1961 0:00,12/31/1967 23:59,200
150270,Västanträsk,2,64.4502,20.4055,7/1/1970 0:00,8/31/2008 23:59,140
